num_robots,boxes,use_hm,fake_hm,counter,carry_counter
16,{'pink': 10},fake_hm,True,782,"[220, 0, 416, 440, 286, 169, 0, 0, 273, 408, 0, 0, 427, 0, 0, 0]"
17,{'pink': 4},fake_hm,True,2934,"[0, 268, 0, 0, 0, 0, 0, 665, 0, 122, 0, 0, 0, 274, 0, 0, 0]"
17,{'pink': 5},fake_hm,True,1829,"[0, 1376, 306, 0, 275, 0, 0, 0, 0, 0, 406, 0, 0, 0, 0, 0, 0]"
17,{'pink': 6},fake_hm,True,1643,"[0, 389, 0, 203, 0, 1362, 76, 1606, 0, 0, 0, 1287, 0, 0, 0, 0, 0]"
17,{'pink': 7},fake_hm,True,870,"[0, 163, 296, 0, 0, 0, 0, 769, 0, 0, 0, 198, 191, 0, 0, 0, 0]"
17,{'pink': 8},fake_hm,True,1025,"[0, 578, 0, 0, 0, 0, 0, 478, 0, 925, 697, 0, 0, 0, 75, 169, 0]"
17,{'pink': 9},fake_hm,True,1891,"[0, 0, 430, 0, 0, 0, 138, 238, 0, 0, 0, 0, 597, 0, 0, 287, 153]"
17,{'pink': 10},fake_hm,True,1187,"[1044, 397, 385, 0, 579, 0, 0, 0, 492, 0, 0, 571, 0, 0, 971, 0, 0]"
18,{'pink': 4},fake_hm,True,3390,"[0, 0, 0, 0, 2078, 0, 0, 0, 0, 0, 0, 830, 0, 354, 0, 0, 0, 2018]"
18,{'pink': 5},fake_hm,True,1301,"[0, 0, 0, 0, 959, 355, 0, 607, 0, 101, 0, 0, 0, 0, 0, 0, 0, 427]"
18,{'pink': 6},fake_hm,True,900,"[0, 0, 0, 0, 464, 0, 0, 0, 0, 257, 382, 419, 0, 0, 94, 0, 0, 0]"
18,{'pink': 7},fake_hm,True,1074,"[137, 0, 830, 0, 75, 690, 944, 0, 0, 162, 0, 0, 0, 0, 0, 0, 386, 0]"
